step,value,metric,run_id,algorithm,observation_mode,reward_mode
38506,0.6108999848365784,training_reward,dqn_compact_coverage,dqn,compact,coverage
38591,0.430400013923645,training_reward,dqn_compact_coverage,dqn,compact,coverage
38624,0.47429999709129333,training_reward,dqn_compact_coverage,dqn,compact,coverage
38720,0.5999000072479248,training_reward,dqn_compact_coverage,dqn,compact,coverage
38798,0.6769000291824341,training_reward,dqn_compact_coverage,dqn,compact,coverage
38857,0.8029999732971191,training_reward,dqn_compact_coverage,dqn,compact,coverage
39069,0.7250000238418579,training_reward,dqn_compact_coverage,dqn,compact,coverage
39182,0.6244000196456909,training_reward,dqn_compact_coverage,dqn,compact,coverage
39249,0.9767000079154968,training_reward,dqn_compact_coverage,dqn,compact,coverage
39298,1.0856000185012817,training_reward,dqn_compact_coverage,dqn,compact,coverage
39560,1.0990999937057495,training_reward,dqn_compact_coverage,dqn,compact,coverage
40126,0.6195999979972839,training_reward,dqn_compact_coverage,dqn,compact,coverage
40247,0.48190000653266907,training_reward,dqn_compact_coverage,dqn,compact,coverage
40291,0.29100000858306885,training_reward,dqn_compact_coverage,dqn,compact,coverage
40445,0.3206000030040741,training_reward,dqn_compact_coverage,dqn,compact,coverage
40675,0.31450000405311584,training_reward,dqn_compact_coverage,dqn,compact,coverage
40802,0.15919999778270721,training_reward,dqn_compact_coverage,dqn,compact,coverage
40945,0.1256999969482422,training_reward,dqn_compact_coverage,dqn,compact,coverage
40970,0.07559999823570251,training_reward,dqn_compact_coverage,dqn,compact,coverage
41133,0.2506999969482422,training_reward,dqn_compact_coverage,dqn,compact,coverage
41156,0.6894999742507935,training_reward,dqn_compact_coverage,dqn,compact,coverage
41759,0.2102999985218048,training_reward,dqn_compact_coverage,dqn,compact,coverage
41821,0.16130000352859497,training_reward,dqn_compact_coverage,dqn,compact,coverage
42331,-0.1354999989271164,training_reward,dqn_compact_coverage,dqn,compact,coverage
42462,-0.1362999975681305,training_reward,dqn_compact_coverage,dqn,compact,coverage
42647,-0.08910000324249268,training_reward,dqn_compact_coverage,dqn,compact,coverage
43088,0.2563000023365021,training_reward,dqn_compact_coverage,dqn,compact,coverage
43166,0.1858000010251999,training_reward,dqn_compact_coverage,dqn,compact,coverage
43279,0.22210000455379486,training_reward,dqn_compact_coverage,dqn,compact,coverage
43440,0.1543000042438507,training_reward,dqn_compact_coverage,dqn,compact,coverage
44075,-0.28130000829696655,training_reward,dqn_compact_coverage,dqn,compact,coverage
44193,-0.21140000224113464,training_reward,dqn_compact_coverage,dqn,compact,coverage
44711,-0.35740000009536743,training_reward,dqn_compact_coverage,dqn,compact,coverage
44968,-0.23090000450611115,training_reward,dqn_compact_coverage,dqn,compact,coverage
45246,-0.16529999673366547,training_reward,dqn_compact_coverage,dqn,compact,coverage
45338,-0.16030000150203705,training_reward,dqn_compact_coverage,dqn,compact,coverage
45462,0.1988999992609024,training_reward,dqn_compact_coverage,dqn,compact,coverage
45749,0.155799999833107,training_reward,dqn_compact_coverage,dqn,compact,coverage
45910,0.28360000252723694,training_reward,dqn_compact_coverage,dqn,compact,coverage
46188,0.2831999957561493,training_reward,dqn_compact_coverage,dqn,compact,coverage
46441,0.22339999675750732,training_reward,dqn_compact_coverage,dqn,compact,coverage
46494,0.40529999136924744,training_reward,dqn_compact_coverage,dqn,compact,coverage
46522,0.4523000121116638,training_reward,dqn_compact_coverage,dqn,compact,coverage
46589,0.5300999879837036,training_reward,dqn_compact_coverage,dqn,compact,coverage
46786,0.33320000767707825,training_reward,dqn_compact_coverage,dqn,compact,coverage
46922,0.1454000025987625,training_reward,dqn_compact_coverage,dqn,compact,coverage
46986,0.5407999753952026,training_reward,dqn_compact_coverage,dqn,compact,coverage
